msid,gender,geno,birthdate,ear,mom,dad,cage,notes,termination
A0156,F,+/-,08/15/21,LR,A0020,A0006,AB1,kill,05/11/22
A0176,M,+/+,09/09/21,NH,A0021,A0007,J18,17-05 CL,03/13/22
A0179,M,-/-,09/09/21,LR,A0021,A0007,J18,17-05 CL,03/13/22
A0181,F,+/+,09/09/21,NH,A0021,A0007,FA06,kill,02/11/22
A0182,F,+/+,09/09/21,L,A0021,A0007,FA06,kill,02/11/22
A0183,M,+/+,11/09/21,NH,A0151,A0148,A01,17-05 CL,03/13/22
A0184,M,+/-,11/09/21,L,A0151,A0148,A02,kill,02/11/22
A0185,M,+/+,11/09/21,LR,A0151,A0148,A01,17-05 CL,03/13/22
A0189,M,-/-,12/03/21,L,A0151,A0148,A01,17-05 CL,03/13/22
A0190,M,-/-,12/03/21,R,A0151,A0148,A01,17-05 CL,03/13/22
A0192,F,+/-,12/03/21,L,A0151,A0148,A01,kill,02/11/22
A0194,M,-/-,12/06/21,NH,A0156,A0147,A06,17-05 CL,03/13/22
A0195,M,-/-,12/06/21,L,A0156,A0147,A06,17-05 CL,03/13/22
A0196,M,+/+,12/06/21,R,A0156,A0147,A06,17-05 CL,03/13/22
A0201,M,+/-,01/06/22,NH,A0156,A0147,A03,kill,02/11/22
A0202,M,+/-,01/06/22,L,A0156,A0147,A03,kill,02/11/22
A0210,M,+/+,01/17/22,LR,A0151,A0148,A06,17-05 CL,03/13/22
FA029,F,+/-: fl/+,06/25/21,LR,FA007,F443,RAB6,kill,02/11/22
FA030,F,+/-: fl/fl,06/25/21,LL,FA007,F443,EB21,kill,02/21/22
FA031,M,+/-: fl/fl,07/12/21,L,FA002,F471,FAB2,kill,05/11/22
FA037,F,+/-: fl/fl,07/12/21,LLR,FA002,F471,RAB8,kill,02/11/22
FA048,M,+/-: fl/fl,08/05/21,LR,FA002,F471,FAB1,kill,06/19/22
FA052,F,+/-: fl/fl,08/05/21,R,FA002,F471,FA04,kill,05/11/22
FA053,F,+/-: fl/fl,08/05/21,LR,FA002,F471,FA04,kill,05/11/22
FA056,F,+/-: fl/fl,08/15/21,L,F554,FA018,FA03,kill,02/11/22
FA066,F,+/-: fl/fl,08/16/21,R,F552,FA015,FA03,kill,02/11/22
FA067,F,+/-: fl/fl,08/16/21,LR,F552,FA015,FA03,kill,02/11/22
FA068,F,+/-: fl/fl,08/16/21,LL,F552,FA015,FA03,kill,02/11/22
FA079,F,+/-: fl/fl,09/03/21,L,F553,FA025,FA04,kill,05/11/22
FA080,F,+/-: fl/fl,09/10/21,NH,F552,FA015,FA05,kill,05/11/22
FA081,F,+/-: fl/fl,09/10/21,L,F552,FA015,FA05,kill,05/11/22
FA082,F,+/-: fl/fl,09/10/21,R,F552,FA015,FA05,kill,05/11/22
FA085,F,+/-: fl/fl,09/10/21,,F552,FA015,FA06,kill,02/11/22
FA086,F,+/-: fl/fl,09/11/21,,F554,FA018,FA06,kill,02/11/22
FA087,F,+/-: fl/fl,09/11/21,,F554,FA018,RAB7,kill,02/11/22
